Input,Output 1,Output 2
27.937500,dfb17bf1,5f317bf1
28.000000,dfb1848f,5f31848f
28.062500,dfb18d5c,5f318d5c
28.125000,dfb19659,5f319659
28.187500,dfb19f84,5f319f84
28.250000,dfb1a8de,5f31a8de
28.312500,dfb1b266,5f31b266
28.375000,dfb1bc1c,5f31bc1c
28.437500,dfb1c600,5f31c600
28.500000,dfb1d012,5f31d012
28.562500,dfb1da51,5f31da51
28.625000,dfb1e4bd,5f31e4bd
28.687500,dfb1ef56,5f31ef56
28.750000,dfb1fa1c,5f31fa1c
28.812500,dfb2050e,5f32050e
28.875000,dfb2102c,5f32102c
28.937500,dfb21b76,5f321b76
29.000000,dfb226eb,5f3226eb
29.062500,dfb2328c,5f32328c
29.125000,dfb23e58,5f323e58
29.187500,dfb24a4f,5f324a4f
29.250000,dfb25671,5f325671
29.312500,dfb262be,5f3262be
29.375000,dfb26f34,5f326f34
29.437500,dfb27bd5,5f327bd5
29.500000,dfb2889f,5f32889f
29.562500,dfb29593,5f329593
29.625000,dfb2a2b1,5f32a2b1
29.687500,dfb2aff7,5f32aff7
29.750000,dfb2bd67,5f32bd67
29.812500,dfb2caff,5f32caff
29.875000,dfb2d8c0,5f32d8c0
29.937500,dfb2e6a9,5f32e6a9
30.000000,dfb2f4ba,5f32f4ba
30.062500,dfb302f3,5f3302f3
30.125000,dfb31154,5f331154
30.187500,dfb31fdc,5f331fdc
30.250000,dfb32e8c,5f332e8c
30.312500,dfb33d62,5f333d62
30.375000,dfb34c60,5f334c60
30.437500,dfb35b84,5f335b84
30.500000,dfb36ace,5f336ace
30.562500,dfb37a3f,5f337a3f
30.625000,dfb389d6,5f3389d6
30.687500,dfb39993,5f339993
30.750000,dfb3a975,5f33a975
30.812500,dfb3b97d,5f33b97d
30.875000,dfb3c9aa,5f33c9aa
30.937500,dfb3d9fd,5f33d9fd
31.000000,dfb3ea74,5f33ea74
31.062500,dfb3fb10,5f33fb10
31.125000,dfb40bd0,5f340bd0
31.187500,dfb41cb5,5f341cb5
31.250000,dfb42dbf,5f342dbf
31.312500,dfb43eec,5f343eec
31.375000,dfb4503d,5f34503d
31.437500,dfb461b1,5f3461b1
31.500000,dfb4734a,5f34734a
31.562500,dfb48505,5f348505
31.625000,dfb496e4,5f3496e4
31.687500,dfb4a8e5,5f34a8e5
31.750000,dfb4bb09,5f34bb09
31.812500,dfb4cd50,5f34cd50
31.875000,dfb4dfba,5f34dfba
31.937500,dfb4f245,5f34f245
32.000000,dfb504f3,5f3504f3
32.062500,dfb4f7c3,5f34f7c3
