Input,Constant,Output
45.500000,5f32f466,0.148250
45.562500,5f32fae7,0.148148
45.625000,5f330178,0.148046
45.687500,5f33081a,0.147945
45.750000,5f330ecb,0.147844
45.812500,5f33158c,0.147743
45.875000,5f331c5d,0.147642
45.937500,5f33233e,0.147542
46.000000,5f332a2f,0.147442
46.062500,5f33312e,0.147342
46.125000,5f33383e,0.147242
46.187500,5f333f5d,0.147142
46.250000,5f33468b,0.147043
46.312500,5f334dc8,0.146943
46.375000,5f335514,0.146844
46.437500,5f335c70,0.146745
46.500000,5f3363da,0.146647
46.562500,5f336b53,0.146548
46.625000,5f3372db,0.146450
46.687500,5f337a72,0.146352
46.750000,5f338217,0.146254
46.812500,5f3389cb,0.146156
46.875000,5f33918d,0.146059
46.937500,5f33995d,0.145961
47.000000,5f33a13c,0.145864
47.062500,5f33a928,0.145767
47.125000,5f33b123,0.145671
47.187500,5f33b92c,0.145574
47.250000,5f33c142,0.145478
47.312500,5f33c967,0.145382
47.375000,5f33d199,0.145286
47.437500,5f33d9d9,0.145190
47.500000,5f33e226,0.145094
47.562500,5f33ea80,0.144999
47.625000,5f33f2e8,0.144904
47.687500,5f33fb5e,0.144809
47.750000,5f3403e0,0.144714
47.812500,5f340c70,0.144619
47.875000,5f34150c,0.144525
47.937500,5f341db5,0.144430
48.000000,5f34266c,0.144336
48.062500,5f342f2f,0.144242
48.125000,5f3437fe,0.144149
48.187500,5f3440da,0.144055
48.250000,5f3449c3,0.143962
48.312500,5f3452b8,0.143869
48.375000,5f345bb9,0.143776
48.437500,5f3464c7,0.143683
48.500000,5f346de0,0.143590
48.562500,5f347706,0.143498
48.625000,5f348037,0.143405
48.687500,5f348975,0.143313
48.750000,5f3492be,0.143221
48.812500,5f349c13,0.143129
48.875000,5f34a573,0.143038
48.937500,5f34aedf,0.142946
49.000000,5f34b857,0.142855
49.062500,5f34c1da,0.142764
49.125000,5f34cb68,0.142673
49.187500,5f34d501,0.142583
49.250000,5f34dea5,0.142492
49.312500,5f34e855,0.142402
49.375000,5f34f20f,0.142311
49.437500,5f34fbd4,0.142221
49.500000,5f3505a4,0.142132
49.562500,5f350f7e,0.142042
49.625000,5f351963,0.141952
49.687500,5f352353,0.141863
49.750000,5f352d4d,0.141774
49.812500,5f353751,0.141685
49.875000,5f354160,0.141596
49.937500,5f354b78,0.141507
50.000000,5f35559b,0.141419
50.062500,5f355fc8,0.141330
50.125000,5f3569ff,0.141242
50.187500,5f35743f,0.141154
50.250000,5f357e89,0.141066
